addr                 batched_in     merges     merge_in       merge_out      dropped        name
[0, 3]               363            0          0              0              363            Arrange: ThresholdTotal
[0, 7]               363            0          0              0              363            Arrange: ThresholdTotal
[0, 10]              381            0          0              0              381            ArrangeByKey
[0, 11, 5]           0              0          0              0              0              ArrangeByKey
[0, 11, 9]           1009768        7          1455083        981595         536280         Arrange: ThresholdTotal
[0, 14]              386420         0          0              0              386420         Arrange: ThresholdTotal
[0, 19]              0              0          0              0              0              Consolidate
