addr                 activations  total_active_ms  name
[0]                  974          777.580          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.019            Consolidate
[0, 4]               3            0.008            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            30.132           FlatMap
[0, 7]               4            181.206          Consolidate
[0, 8]               4            20.897           AsCollection
[0, 9]               3            0.008            FlatMap
[0, 10]              3            0.062            FlatMap
[0, 11]              4            0.014            Consolidate
[0, 12]              3            0.004            AsCollection
[0, 13]              4            23.526           FlatMap
[0, 14]              5            201.643          ArrangeByKey
[0, 15]              690          305.936          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           3            0.004            Enter
[0, 15, 3]           28           0.046            Feedback
[0, 15, 4]           28           0.632            FlatMap
[0, 15, 5]           28           1.658            FlatMap
[0, 15, 6]           49           4.489            ArrangeBySelf
[0, 15, 7]           43           128.232          Join
[0, 15, 8]           30           0.294            Concatenate
[0, 15, 9]           30           26.925           FlatMap
[0, 15, 10]          52           118.031          Arrange: ThresholdTotal
[0, 15, 11]          36           18.818           ThresholdTotal
[0, 15, 12]          28           0.125            ResultsIn
[0, 16]              34           0.065            Leave
[0, 17]              28           1.405            FlatMap
[0, 18]              41           5.613            Consolidate
[0, 19]              4            1.276            AsCollection
[0, 20]              4            0.479            FlatMap
[0, 21]              4            0.427            FlatMap
[0, 22]              4            1.041            FlatMap
[0, 23]              9            0.005            Consolidate
[0, 24]              2            0.002            AsCollection
[0, 25]              2            0.001            InspectBatch
