addr                 activations  total_active_ms  name
[0]                  1996         757.430          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.013            Consolidate
[0, 4]               4            0.006            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            25.965           FlatMap
[0, 7]               4            173.924          Consolidate
[0, 8]               4            19.071           AsCollection
[0, 9]               4            0.012            FlatMap
[0, 10]              4            0.044            FlatMap
[0, 11]              5            0.015            Consolidate
[0, 12]              4            0.005            AsCollection
[0, 13]              4            27.068           FlatMap
[0, 14]              5            199.342          ArrangeByKey
[0, 15]              1337         298.730          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           4            0.009            Enter
[0, 15, 3]           24           0.047            Feedback
[0, 15, 4]           24           0.394            FlatMap
[0, 15, 5]           24           1.477            FlatMap
[0, 15, 6]           65           4.070            ArrangeBySelf
[0, 15, 7]           39           127.538          Join
[0, 15, 8]           26           0.265            Concatenate
[0, 15, 9]           26           22.893           FlatMap
[0, 15, 10]          69           116.410          Arrange: ThresholdTotal
[0, 15, 11]          35           18.547           ThresholdTotal
[0, 15, 12]          24           0.126            ResultsIn
[0, 16]              31           0.069            Leave
[0, 17]              24           1.209            FlatMap
[0, 18]              74           5.502            Consolidate
[0, 19]              4            1.163            AsCollection
[0, 20]              4            0.484            FlatMap
[0, 21]              4            0.403            FlatMap
[0, 22]              4            0.889            FlatMap
[0, 23]              52           0.012            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.001            InspectBatch
