addr                 activations  total_active_ms  name
[0]                  2191         746.714          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               3            0.006            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            25.810           FlatMap
[0, 7]               4            173.082          Consolidate
[0, 8]               4            18.705           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.016            Consolidate
[0, 12]              2            0.002            AsCollection
[0, 13]              4            21.652           FlatMap
[0, 14]              5            199.404          ArrangeByKey
[0, 15]              1513         295.036          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           22           0.039            Feedback
[0, 15, 4]           22           0.361            FlatMap
[0, 15, 5]           22           1.455            FlatMap
[0, 15, 6]           74           4.168            ArrangeBySelf
[0, 15, 7]           38           125.599          Join
[0, 15, 8]           22           0.240            Concatenate
[0, 15, 9]           22           22.038           FlatMap
[0, 15, 10]          76           115.762          Arrange: ThresholdTotal
[0, 15, 11]          33           18.526           ThresholdTotal
[0, 15, 12]          22           0.119            ResultsIn
[0, 16]              34           0.064            Leave
[0, 17]              22           1.207            FlatMap
[0, 18]              77           5.581            Consolidate
[0, 19]              4            1.188            AsCollection
[0, 20]              4            0.502            FlatMap
[0, 21]              4            0.404            FlatMap
[0, 22]              4            0.921            FlatMap
[0, 23]              40           0.010            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.001            InspectBatch
