addr                 activations  total_active_ms  name
[0]                  1507         772.654          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.012            Consolidate
[0, 4]               4            0.013            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            29.549           FlatMap
[0, 7]               4            185.660          Consolidate
[0, 8]               4            19.189           AsCollection
[0, 9]               4            0.014            FlatMap
[0, 10]              4            0.033            FlatMap
[0, 11]              5            0.013            Consolidate
[0, 12]              4            0.006            AsCollection
[0, 13]              4            24.265           FlatMap
[0, 14]              5            201.565          ArrangeByKey
[0, 15]              1127         299.330          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           4            0.006            Enter
[0, 15, 3]           24           0.042            Feedback
[0, 15, 4]           24           0.509            FlatMap
[0, 15, 5]           24           1.499            FlatMap
[0, 15, 6]           62           4.292            ArrangeBySelf
[0, 15, 7]           39           126.377          Join
[0, 15, 8]           26           0.247            Concatenate
[0, 15, 9]           26           24.101           FlatMap
[0, 15, 10]          83           116.958          Arrange: ThresholdTotal
[0, 15, 11]          33           18.576           ThresholdTotal
[0, 15, 12]          24           0.121            ResultsIn
[0, 16]              36           0.052            Leave
[0, 17]              24           1.216            FlatMap
[0, 18]              66           5.442            Consolidate
[0, 19]              4            1.165            AsCollection
[0, 20]              4            0.480            FlatMap
[0, 21]              4            0.431            FlatMap
[0, 22]              4            0.946            FlatMap
[0, 23]              52           0.014            Consolidate
[0, 24]              2            0.004            AsCollection
[0, 25]              2            0.001            InspectBatch
