addr                 activations  total_active_ms  name
[0]                  1130         781.660          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               3            0.007            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            27.291           FlatMap
[0, 7]               4            182.507          Consolidate
[0, 8]               4            20.162           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.001            FlatMap
[0, 11]              2            0.003            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            25.278           FlatMap
[0, 14]              5            205.778          ArrangeByKey
[0, 15]              753          306.657          Iterative
[0, 15, 1]           4            0.005            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           24           0.045            Feedback
[0, 15, 4]           24           0.630            FlatMap
[0, 15, 5]           24           1.607            FlatMap
[0, 15, 6]           56           4.365            ArrangeBySelf
[0, 15, 7]           41           129.531          Join
[0, 15, 8]           24           0.252            Concatenate
[0, 15, 9]           24           26.234           FlatMap
[0, 15, 10]          66           118.739          Arrange: ThresholdTotal
[0, 15, 11]          35           18.594           ThresholdTotal
[0, 15, 12]          24           0.123            ResultsIn
[0, 16]              32           0.064            Leave
[0, 17]              24           1.241            FlatMap
[0, 18]              56           5.497            Consolidate
[0, 19]              4            1.194            AsCollection
[0, 20]              4            0.447            FlatMap
[0, 21]              4            0.418            FlatMap
[0, 22]              4            0.941            FlatMap
[0, 23]              49           0.011            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.003            InspectBatch
