addr                 activations  total_active_ms  name
[0]                  913          776.292          Dataflow
[0, 1]               2            0.000            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.007            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            29.357           FlatMap
[0, 7]               4            182.900          Consolidate
[0, 8]               4            20.330           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.001            FlatMap
[0, 11]              4            0.004            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            22.594           FlatMap
[0, 14]              5            203.165          ArrangeByKey
[0, 15]              559          304.101          Iterative
[0, 15, 1]           4            0.005            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           26           0.046            Feedback
[0, 15, 4]           26           0.459            FlatMap
[0, 15, 5]           26           1.730            FlatMap
[0, 15, 6]           50           4.287            ArrangeBySelf
[0, 15, 7]           42           127.831          Join
[0, 15, 8]           24           0.294            Concatenate
[0, 15, 9]           24           25.002           FlatMap
[0, 15, 10]          58           119.180          Arrange: ThresholdTotal
[0, 15, 11]          37           18.528           ThresholdTotal
[0, 15, 12]          26           0.121            ResultsIn
[0, 16]              33           0.061            Leave
[0, 17]              26           1.347            FlatMap
[0, 18]              46           5.642            Consolidate
[0, 19]              4            1.221            AsCollection
[0, 20]              4            0.562            FlatMap
[0, 21]              4            0.428            FlatMap
[0, 22]              4            0.934            FlatMap
[0, 23]              10           0.005            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.001            InspectBatch
