addr                 activations  total_active_ms  name
[0]                  1519         776.599          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.006            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            29.508           FlatMap
[0, 7]               4            182.728          Consolidate
[0, 8]               4            21.767           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.004            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            21.800           FlatMap
[0, 14]              5            199.580          ArrangeByKey
[0, 15]              988          307.656          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           22           0.049            Feedback
[0, 15, 4]           22           0.548            FlatMap
[0, 15, 5]           22           1.558            FlatMap
[0, 15, 6]           72           4.337            ArrangeBySelf
[0, 15, 7]           38           129.102          Join
[0, 15, 8]           22           0.272            Concatenate
[0, 15, 9]           22           27.602           FlatMap
[0, 15, 10]          85           119.100          Arrange: ThresholdTotal
[0, 15, 11]          34           18.800           ThresholdTotal
[0, 15, 12]          22           0.125            ResultsIn
[0, 16]              39           0.071            Leave
[0, 17]              22           1.223            FlatMap
[0, 18]              89           5.596            Consolidate
[0, 19]              4            1.215            AsCollection
[0, 20]              4            0.462            FlatMap
[0, 21]              4            0.426            FlatMap
[0, 22]              4            0.956            FlatMap
[0, 23]              18           0.008            Consolidate
[0, 24]              2            0.005            AsCollection
[0, 25]              2            0.004            InspectBatch
