addr                 activations  total_active_ms  name
[0]                  1906         751.912          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               3            0.005            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            25.383           FlatMap
[0, 7]               4            173.147          Consolidate
[0, 8]               4            19.080           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.008            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            21.892           FlatMap
[0, 14]              5            200.602          ArrangeByKey
[0, 15]              1330         298.693          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           24           0.043            Feedback
[0, 15, 4]           24           0.533            FlatMap
[0, 15, 5]           24           1.452            FlatMap
[0, 15, 6]           56           4.276            ArrangeBySelf
[0, 15, 7]           41           125.887          Join
[0, 15, 8]           24           0.241            Concatenate
[0, 15, 9]           24           24.203           FlatMap
[0, 15, 10]          67           116.770          Arrange: ThresholdTotal
[0, 15, 11]          36           18.753           ThresholdTotal
[0, 15, 12]          24           0.116            ResultsIn
[0, 16]              35           0.060            Leave
[0, 17]              24           1.317            FlatMap
[0, 18]              53           5.516            Consolidate
[0, 19]              4            1.271            AsCollection
[0, 20]              4            0.531            FlatMap
[0, 21]              4            0.441            FlatMap
[0, 22]              4            0.949            FlatMap
[0, 23]              18           0.009            Consolidate
[0, 24]              2            0.002            AsCollection
[0, 25]              2            0.002            InspectBatch
