addr                 activations  total_active_ms  name
[0]                  3287         668.397          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.006            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            29.864           FlatMap
[0, 7]               4            181.298          Consolidate
[0, 8]               4            20.630           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.005            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            20.246           FlatMap
[0, 14]              5            202.856          ArrangeByKey
[0, 15]              2450         202.622          Iterative
[0, 15, 1]           4            0.005            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           24           0.033            Feedback
[0, 15, 4]           24           0.342            FlatMap
[0, 15, 5]           24           0.924            FlatMap
[0, 15, 6]           285          2.589            ArrangeBySelf
[0, 15, 7]           41           85.721           Join
[0, 15, 8]           24           0.213            Concatenate
[0, 15, 9]           24           14.251           FlatMap
[0, 15, 10]          111          80.068           Arrange: ThresholdTotal
[0, 15, 11]          38           10.954           ThresholdTotal
[0, 15, 12]          24           0.083            ResultsIn
[0, 16]              162          0.069            Leave
[0, 17]              24           0.889            FlatMap
[0, 18]              236          3.563            Consolidate
[0, 19]              4            0.856            AsCollection
[0, 20]              4            0.414            FlatMap
[0, 21]              4            0.276            FlatMap
[0, 22]              4            0.615            FlatMap
[0, 23]              58           0.011            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.002            InspectBatch
