addr                 activations  total_active_ms  name
[0]                  1451         778.563          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               4            0.006            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            28.361           FlatMap
[0, 7]               4            180.164          Consolidate
[0, 8]               4            24.081           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              2            0.004            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            22.868           FlatMap
[0, 14]              5            206.913          ArrangeByKey
[0, 15]              1109         302.022          Iterative
[0, 15, 1]           4            0.005            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           22           0.048            Feedback
[0, 15, 4]           22           0.552            FlatMap
[0, 15, 5]           22           1.505            FlatMap
[0, 15, 6]           75           4.203            ArrangeBySelf
[0, 15, 7]           38           127.594          Join
[0, 15, 8]           22           0.262            Concatenate
[0, 15, 9]           22           25.126           FlatMap
[0, 15, 10]          74           117.869          Arrange: ThresholdTotal
[0, 15, 11]          35           18.437           ThresholdTotal
[0, 15, 12]          22           0.119            ResultsIn
[0, 16]              33           0.063            Leave
[0, 17]              22           1.227            FlatMap
[0, 18]              73           5.556            Consolidate
[0, 19]              4            1.358            AsCollection
[0, 20]              4            0.502            FlatMap
[0, 21]              4            0.438            FlatMap
[0, 22]              4            0.962            FlatMap
[0, 23]              8            0.005            Consolidate
[0, 24]              2            0.002            AsCollection
[0, 25]              2            0.014            InspectBatch
