addr                 activations  total_active_ms  name
[0]                  908          781.688          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.007            Consolidate
[0, 4]               2            0.001            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            32.398           FlatMap
[0, 7]               4            183.072          Consolidate
[0, 8]               4            20.406           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.001            FlatMap
[0, 11]              2            0.003            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            22.677           FlatMap
[0, 14]              5            203.951          ArrangeByKey
[0, 15]              672          304.732          Iterative
[0, 15, 1]           4            0.007            FlatMap
[0, 15, 2]           2            0.004            Enter
[0, 15, 3]           26           0.048            Feedback
[0, 15, 4]           26           0.599            FlatMap
[0, 15, 5]           26           1.525            FlatMap
[0, 15, 6]           50           4.343            ArrangeBySelf
[0, 15, 7]           44           127.483          Join
[0, 15, 8]           24           0.278            Concatenate
[0, 15, 9]           24           26.042           FlatMap
[0, 15, 10]          52           118.807          Arrange: ThresholdTotal
[0, 15, 11]          38           18.857           ThresholdTotal
[0, 15, 12]          26           0.124            ResultsIn
[0, 16]              32           0.066            Leave
[0, 17]              26           1.352            FlatMap
[0, 18]              42           5.668            Consolidate
[0, 19]              4            1.299            AsCollection
[0, 20]              4            0.459            FlatMap
[0, 21]              4            0.436            FlatMap
[0, 22]              4            1.017            FlatMap
[0, 23]              7            0.005            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.001            InspectBatch
