addr                 activations  total_active_ms  name
[0]                  1093         780.383          Dataflow
[0, 1]               2            0.000            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.005            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            29.853           FlatMap
[0, 7]               4            181.969          Consolidate
[0, 8]               4            21.412           AsCollection
[0, 9]               2            0.001            FlatMap
[0, 10]              2            0.001            FlatMap
[0, 11]              2            0.003            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            20.480           FlatMap
[0, 14]              5            206.793          ArrangeByKey
[0, 15]              747          306.127          Iterative
[0, 15, 1]           4            0.004            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           26           0.045            Feedback
[0, 15, 4]           26           0.553            FlatMap
[0, 15, 5]           26           1.454            FlatMap
[0, 15, 6]           51           4.358            ArrangeBySelf
[0, 15, 7]           43           128.592          Join
[0, 15, 8]           22           0.259            Concatenate
[0, 15, 9]           22           25.371           FlatMap
[0, 15, 10]          55           119.871          Arrange: ThresholdTotal
[0, 15, 11]          37           18.857           ThresholdTotal
[0, 15, 12]          26           0.115            ResultsIn
[0, 16]              34           0.054            Leave
[0, 17]              26           1.287            FlatMap
[0, 18]              42           5.511            Consolidate
[0, 19]              4            1.191            AsCollection
[0, 20]              4            0.488            FlatMap
[0, 21]              4            0.437            FlatMap
[0, 22]              4            0.977            FlatMap
[0, 23]              26           0.008            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.008            InspectBatch
