addr                 activations  total_active_ms  name
[0]                  1285         703.874          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.005            FlatMap
[0, 3]               4            0.010            Consolidate
[0, 4]               2            0.003            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            15.694           FlatMap
[0, 7]               47           110.979          Consolidate
[0, 8]               4            21.649           AsCollection
[0, 9]               2            0.003            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.016            Consolidate
[0, 12]              2            0.002            AsCollection
[0, 13]              4            25.173           FlatMap
[0, 14]              5            207.501          ArrangeByKey
[0, 15]              733          309.218          Iterative
[0, 15, 1]           4            0.008            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           24           0.051            Feedback
[0, 15, 4]           24           0.562            FlatMap
[0, 15, 5]           24           1.622            FlatMap
[0, 15, 6]           66           4.384            ArrangeBySelf
[0, 15, 7]           38           129.526          Join
[0, 15, 8]           24           0.250            Concatenate
[0, 15, 9]           24           27.605           FlatMap
[0, 15, 10]          57           119.307          Arrange: ThresholdTotal
[0, 15, 11]          37           19.144           ThresholdTotal
[0, 15, 12]          24           0.129            ResultsIn
[0, 16]              32           0.067            Leave
[0, 17]              24           1.197            FlatMap
[0, 18]              63           5.650            Consolidate
[0, 19]              4            1.159            AsCollection
[0, 20]              4            0.604            FlatMap
[0, 21]              4            0.399            FlatMap
[0, 22]              4            0.924            FlatMap
[0, 23]              13           0.006            Consolidate
[0, 24]              2            0.002            AsCollection
[0, 25]              2            0.006            InspectBatch
