addr                 activations  total_active_ms  name
[0]                  1493         778.254          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               4            0.009            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            27.795           FlatMap
[0, 7]               4            183.142          Consolidate
[0, 8]               4            23.760           AsCollection
[0, 9]               2            0.003            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              2            0.005            Consolidate
[0, 12]              2            0.002            AsCollection
[0, 13]              4            21.791           FlatMap
[0, 14]              5            206.693          ArrangeByKey
[0, 15]              1116         301.484          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           24           0.048            Feedback
[0, 15, 4]           24           0.554            FlatMap
[0, 15, 5]           24           1.609            FlatMap
[0, 15, 6]           57           4.263            ArrangeBySelf
[0, 15, 7]           41           127.252          Join
[0, 15, 8]           24           0.252            Concatenate
[0, 15, 9]           24           23.314           FlatMap
[0, 15, 10]          61           118.665          Arrange: ThresholdTotal
[0, 15, 11]          33           18.690           ThresholdTotal
[0, 15, 12]          24           0.117            ResultsIn
[0, 16]              37           0.065            Leave
[0, 17]              24           1.248            FlatMap
[0, 18]              48           5.470            Consolidate
[0, 19]              4            1.217            AsCollection
[0, 20]              4            0.464            FlatMap
[0, 21]              4            0.429            FlatMap
[0, 22]              4            0.949            FlatMap
[0, 23]              36           0.010            Consolidate
[0, 24]              2            0.008            AsCollection
[0, 25]              2            0.004            InspectBatch
