addr                 activations  total_active_ms  name
[0]                  1390         785.455          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.004            FlatMap
[0, 3]               4            0.007            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            31.270           FlatMap
[0, 7]               4            183.371          Consolidate
[0, 8]               4            21.430           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              2            0.003            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            25.758           FlatMap
[0, 14]              5            204.948          ArrangeByKey
[0, 15]              976          306.012          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           24           0.041            Feedback
[0, 15, 4]           24           0.474            FlatMap
[0, 15, 5]           24           1.561            FlatMap
[0, 15, 6]           56           4.332            ArrangeBySelf
[0, 15, 7]           40           126.183          Join
[0, 15, 8]           24           0.241            Concatenate
[0, 15, 9]           24           28.680           FlatMap
[0, 15, 10]          59           118.968          Arrange: ThresholdTotal
[0, 15, 11]          32           18.793           ThresholdTotal
[0, 15, 12]          24           0.134            ResultsIn
[0, 16]              38           0.068            Leave
[0, 17]              24           1.253            FlatMap
[0, 18]              49           5.588            Consolidate
[0, 19]              4            1.198            AsCollection
[0, 20]              4            0.479            FlatMap
[0, 21]              4            0.398            FlatMap
[0, 22]              4            0.925            FlatMap
[0, 23]              47           0.011            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.007            InspectBatch
