addr                 activations  total_active_ms  name
[0]                  964          781.993          Dataflow
[0, 1]               2            0.000            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.005            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            30.748           FlatMap
[0, 7]               4            183.311          Consolidate
[0, 8]               4            22.228           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.005            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            24.809           FlatMap
[0, 14]              5            200.624          ArrangeByKey
[0, 15]              698          306.328          Iterative
[0, 15, 1]           3            0.005            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           24           0.041            Feedback
[0, 15, 4]           24           0.522            FlatMap
[0, 15, 5]           24           1.546            FlatMap
[0, 15, 6]           55           4.361            ArrangeBySelf
[0, 15, 7]           38           127.928          Join
[0, 15, 8]           24           0.239            Concatenate
[0, 15, 9]           24           27.722           FlatMap
[0, 15, 10]          64           119.004          Arrange: ThresholdTotal
[0, 15, 11]          33           18.905           ThresholdTotal
[0, 15, 12]          24           0.110            ResultsIn
[0, 16]              38           0.065            Leave
[0, 17]              24           1.345            FlatMap
[0, 18]              46           5.578            Consolidate
[0, 19]              4            1.323            AsCollection
[0, 20]              4            0.473            FlatMap
[0, 21]              4            0.433            FlatMap
[0, 22]              4            1.017            FlatMap
[0, 23]              8            0.005            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.001            InspectBatch
