addr                 activations  total_active_ms  name
[0]                  1340         781.504          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               3            0.006            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            29.639           FlatMap
[0, 7]               4            183.558          Consolidate
[0, 8]               4            21.804           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              2            0.003            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            23.680           FlatMap
[0, 14]              5            204.842          ArrangeByKey
[0, 15]              930          305.310          Iterative
[0, 15, 1]           4            0.007            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           24           0.046            Feedback
[0, 15, 4]           24           0.465            FlatMap
[0, 15, 5]           24           1.584            FlatMap
[0, 15, 6]           54           4.363            ArrangeBySelf
[0, 15, 7]           41           127.650          Join
[0, 15, 8]           24           0.242            Concatenate
[0, 15, 9]           24           26.485           FlatMap
[0, 15, 10]          58           118.922          Arrange: ThresholdTotal
[0, 15, 11]          33           18.814           ThresholdTotal
[0, 15, 12]          24           0.121            ResultsIn
[0, 16]              37           0.067            Leave
[0, 17]              24           1.231            FlatMap
[0, 18]              50           5.513            Consolidate
[0, 19]              4            1.226            AsCollection
[0, 20]              4            0.544            FlatMap
[0, 21]              4            0.409            FlatMap
[0, 22]              4            0.919            FlatMap
[0, 23]              25           0.010            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.006            InspectBatch
