addr                 activations  total_active_ms  name
[0]                  2047         754.105          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.005            Consolidate
[0, 4]               2            0.001            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            24.433           FlatMap
[0, 7]               4            172.651          Consolidate
[0, 8]               4            19.371           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.001            FlatMap
[0, 11]              4            0.006            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            22.029           FlatMap
[0, 14]              5            198.810          ArrangeByKey
[0, 15]              1320         303.532          Iterative
[0, 15, 1]           4            0.011            FlatMap
[0, 15, 2]           2            0.005            Enter
[0, 15, 3]           24           0.048            Feedback
[0, 15, 4]           24           0.560            FlatMap
[0, 15, 5]           24           1.457            FlatMap
[0, 15, 6]           61           4.292            ArrangeBySelf
[0, 15, 7]           41           128.277          Join
[0, 15, 8]           24           0.312            Concatenate
[0, 15, 9]           24           26.361           FlatMap
[0, 15, 10]          72           117.077          Arrange: ThresholdTotal
[0, 15, 11]          36           18.720           ThresholdTotal
[0, 15, 12]          24           0.118            ResultsIn
[0, 16]              34           0.056            Leave
[0, 17]              24           1.224            FlatMap
[0, 18]              74           5.515            Consolidate
[0, 19]              4            1.269            AsCollection
[0, 20]              4            0.515            FlatMap
[0, 21]              4            0.402            FlatMap
[0, 22]              4            0.923            FlatMap
[0, 23]              18           0.007            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.001            InspectBatch
