addr                 activations  total_active_ms  name
[0]                  1791         753.211          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               3            0.007            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            26.629           FlatMap
[0, 7]               4            174.862          Consolidate
[0, 8]               4            18.952           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.007            Consolidate
[0, 12]              2            0.002            AsCollection
[0, 13]              4            21.458           FlatMap
[0, 14]              5            198.635          ArrangeByKey
[0, 15]              1220         299.257          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           24           0.040            Feedback
[0, 15, 4]           24           0.394            FlatMap
[0, 15, 5]           24           1.512            FlatMap
[0, 15, 6]           61           4.200            ArrangeBySelf
[0, 15, 7]           38           126.776          Join
[0, 15, 8]           24           0.510            Concatenate
[0, 15, 9]           24           23.149           FlatMap
[0, 15, 10]          72           117.444          Arrange: ThresholdTotal
[0, 15, 11]          36           18.473           ThresholdTotal
[0, 15, 12]          24           0.118            ResultsIn
[0, 16]              33           0.062            Leave
[0, 17]              24           1.338            FlatMap
[0, 18]              72           5.562            Consolidate
[0, 19]              4            1.203            AsCollection
[0, 20]              4            0.513            FlatMap
[0, 21]              4            0.430            FlatMap
[0, 22]              4            0.961            FlatMap
[0, 23]              19           0.008            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.002            InspectBatch
