addr                 activations  total_active_ms  name
[0]                  3935         443.311          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.004            FlatMap
[0, 3]               4            0.012            Consolidate
[0, 4]               2            0.006            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            14.886           FlatMap
[0, 7]               29           91.000           Consolidate
[0, 8]               4            10.707           AsCollection
[0, 9]               2            0.004            FlatMap
[0, 10]              2            0.004            FlatMap
[0, 11]              12           0.011            Consolidate
[0, 12]              2            0.004            AsCollection
[0, 13]              4            11.253           FlatMap
[0, 14]              60           116.862          ArrangeByKey
[0, 15]              2777         185.140          Iterative
[0, 15, 1]           4            0.018            FlatMap
[0, 15, 2]           2            0.005            Enter
[0, 15, 3]           22           0.050            Feedback
[0, 15, 4]           22           0.491            FlatMap
[0, 15, 5]           22           0.861            FlatMap
[0, 15, 6]           297          2.239            ArrangeBySelf
[0, 15, 7]           38           68.422           Join
[0, 15, 8]           22           0.184            Concatenate
[0, 15, 9]           22           14.398           FlatMap
[0, 15, 10]          174          78.635           Arrange: ThresholdTotal
[0, 15, 11]          33           9.597            ThresholdTotal
[0, 15, 12]          22           0.068            ResultsIn
[0, 16]              144          0.055            Leave
[0, 17]              22           0.861            FlatMap
[0, 18]              239          2.888            Consolidate
[0, 19]              4            0.579            AsCollection
[0, 20]              4            0.383            FlatMap
[0, 21]              4            0.219            FlatMap
[0, 22]              4            0.515            FlatMap
[0, 23]              62           0.017            Consolidate
[0, 24]              2            0.002            AsCollection
[0, 25]              2            0.002            InspectBatch
