addr                 activations  total_active_ms  name
[0]                  2366         746.884          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               3            0.008            Consolidate
[0, 4]               2            0.003            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            24.999           FlatMap
[0, 7]               4            172.422          Consolidate
[0, 8]               4            18.883           AsCollection
[0, 9]               2            0.003            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.018            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            21.613           FlatMap
[0, 14]              5            198.841          ArrangeByKey
[0, 15]              1566         296.844          Iterative
[0, 15, 1]           4            0.005            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           24           0.042            Feedback
[0, 15, 4]           24           0.379            FlatMap
[0, 15, 5]           24           1.455            FlatMap
[0, 15, 6]           65           4.241            ArrangeBySelf
[0, 15, 7]           42           125.492          Join
[0, 15, 8]           24           0.437            Concatenate
[0, 15, 9]           24           22.300           FlatMap
[0, 15, 10]          71           117.583          Arrange: ThresholdTotal
[0, 15, 11]          39           18.481           ThresholdTotal
[0, 15, 12]          24           0.120            ResultsIn
[0, 16]              34           0.058            Leave
[0, 17]              24           1.225            FlatMap
[0, 18]              96           5.536            Consolidate
[0, 19]              4            1.180            AsCollection
[0, 20]              4            0.512            FlatMap
[0, 21]              4            0.400            FlatMap
[0, 22]              4            0.918            FlatMap
[0, 23]              50           0.013            Consolidate
[0, 24]              2            0.002            AsCollection
[0, 25]              2            0.001            InspectBatch
