addr                 activations  total_active_ms  name
[0]                  1756         770.089          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.004            FlatMap
[0, 3]               4            0.006            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            28.467           FlatMap
[0, 7]               4            179.705          Consolidate
[0, 8]               4            20.227           AsCollection
[0, 9]               2            0.004            FlatMap
[0, 10]              2            0.004            FlatMap
[0, 11]              2            0.005            Consolidate
[0, 12]              2            0.002            AsCollection
[0, 13]              4            23.620           FlatMap
[0, 14]              5            203.653          ArrangeByKey
[0, 15]              1260         300.763          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           22           0.050            Feedback
[0, 15, 4]           22           0.417            FlatMap
[0, 15, 5]           22           1.477            FlatMap
[0, 15, 6]           74           4.204            ArrangeBySelf
[0, 15, 7]           38           126.005          Join
[0, 15, 8]           22           0.308            Concatenate
[0, 15, 9]           22           25.207           FlatMap
[0, 15, 10]          79           117.797          Arrange: ThresholdTotal
[0, 15, 11]          32           18.677           ThresholdTotal
[0, 15, 12]          22           0.142            ResultsIn
[0, 16]              39           0.066            Leave
[0, 17]              22           1.212            FlatMap
[0, 18]              76           5.586            Consolidate
[0, 19]              4            1.338            AsCollection
[0, 20]              4            0.495            FlatMap
[0, 21]              4            0.413            FlatMap
[0, 22]              4            0.930            FlatMap
[0, 23]              17           0.009            Consolidate
[0, 24]              2            0.008            AsCollection
[0, 25]              2            0.009            InspectBatch
