addr                 activations  total_active_ms  name
[0]                  917          782.212          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               3            0.011            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            28.151           FlatMap
[0, 7]               4            181.616          Consolidate
[0, 8]               4            19.838           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.001            FlatMap
[0, 11]              2            0.003            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            25.052           FlatMap
[0, 14]              5            205.832          ArrangeByKey
[0, 15]              634          307.983          Iterative
[0, 15, 1]           4            0.009            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           24           0.051            Feedback
[0, 15, 4]           24           0.599            FlatMap
[0, 15, 5]           24           1.612            FlatMap
[0, 15, 6]           52           4.434            ArrangeBySelf
[0, 15, 7]           36           130.583          Join
[0, 15, 8]           24           0.316            Concatenate
[0, 15, 9]           24           26.676           FlatMap
[0, 15, 10]          49           118.306          Arrange: ThresholdTotal
[0, 15, 11]          35           18.794           ThresholdTotal
[0, 15, 12]          24           0.125            ResultsIn
[0, 16]              31           0.068            Leave
[0, 17]              24           1.214            FlatMap
[0, 18]              49           5.649            Consolidate
[0, 19]              4            1.197            AsCollection
[0, 20]              4            0.462            FlatMap
[0, 21]              4            0.424            FlatMap
[0, 22]              4            0.941            FlatMap
[0, 23]              24           0.028            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.007            InspectBatch
