addr                 activations  total_active_ms  name
[0]                  2064         743.006          Dataflow
[0, 1]               2            0.000            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               3            0.012            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            24.974           FlatMap
[0, 7]               4            170.311          Consolidate
[0, 8]               4            18.652           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.008            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            22.274           FlatMap
[0, 14]              5            198.134          ArrangeByKey
[0, 15]              1444         295.391          Iterative
[0, 15, 1]           4            0.005            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           22           0.039            Feedback
[0, 15, 4]           22           0.369            FlatMap
[0, 15, 5]           22           1.377            FlatMap
[0, 15, 6]           82           4.191            ArrangeBySelf
[0, 15, 7]           38           125.534          Join
[0, 15, 8]           22           0.232            Concatenate
[0, 15, 9]           22           22.703           FlatMap
[0, 15, 10]          70           116.220          Arrange: ThresholdTotal
[0, 15, 11]          36           18.409           ThresholdTotal
[0, 15, 12]          22           0.108            ResultsIn
[0, 16]              34           0.057            Leave
[0, 17]              22           1.353            FlatMap
[0, 18]              84           5.574            Consolidate
[0, 19]              4            1.216            AsCollection
[0, 20]              4            0.514            FlatMap
[0, 21]              4            0.398            FlatMap
[0, 22]              4            0.927            FlatMap
[0, 23]              39           0.013            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.002            InspectBatch
