addr                 activations  total_active_ms  name
[0]                  968          779.783          Dataflow
[0, 1]               2            0.000            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               5            0.011            Consolidate
[0, 4]               4            0.006            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            29.182           FlatMap
[0, 7]               4            183.909          Consolidate
[0, 8]               4            21.361           AsCollection
[0, 9]               4            0.009            FlatMap
[0, 10]              4            0.022            FlatMap
[0, 11]              5            0.013            Consolidate
[0, 12]              4            0.004            AsCollection
[0, 13]              4            21.941           FlatMap
[0, 14]              5            204.258          ArrangeByKey
[0, 15]              620          304.930          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           4            0.005            Enter
[0, 15, 3]           28           0.046            Feedback
[0, 15, 4]           28           0.602            FlatMap
[0, 15, 5]           28           1.536            FlatMap
[0, 15, 6]           44           4.437            ArrangeBySelf
[0, 15, 7]           43           127.811          Join
[0, 15, 8]           28           0.267            Concatenate
[0, 15, 9]           28           26.530           FlatMap
[0, 15, 10]          53           117.934          Arrange: ThresholdTotal
[0, 15, 11]          37           18.927           ThresholdTotal
[0, 15, 12]          28           0.127            ResultsIn
[0, 16]              30           0.066            Leave
[0, 17]              28           1.375            FlatMap
[0, 18]              37           5.483            Consolidate
[0, 19]              4            1.225            AsCollection
[0, 20]              4            0.462            FlatMap
[0, 21]              4            0.423            FlatMap
[0, 22]              4            0.938            FlatMap
[0, 23]              31           0.008            Consolidate
[0, 24]              2            0.003            AsCollection
[0, 25]              2            0.001            InspectBatch
