addr                 activations  total_active_ms  name
[0]                  4324         557.424          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               3            0.011            Consolidate
[0, 4]               2            0.003            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            25.347           FlatMap
[0, 7]               4            175.711          Consolidate
[0, 8]               4            10.741           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              7            0.011            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            13.570           FlatMap
[0, 14]              22           128.614          ArrangeByKey
[0, 15]              3157         192.491          Iterative
[0, 15, 1]           4            0.012            FlatMap
[0, 15, 2]           2            0.005            Enter
[0, 15, 3]           24           0.034            Feedback
[0, 15, 4]           24           0.300            FlatMap
[0, 15, 5]           24           1.119            FlatMap
[0, 15, 6]           340          2.433            ArrangeBySelf
[0, 15, 7]           42           76.649           Join
[0, 15, 8]           24           0.197            Concatenate
[0, 15, 9]           24           15.154           FlatMap
[0, 15, 10]          163          77.465           Arrange: ThresholdTotal
[0, 15, 11]          39           10.615           ThresholdTotal
[0, 15, 12]          24           0.078            ResultsIn
[0, 16]              184          0.059            Leave
[0, 17]              24           0.831            FlatMap
[0, 18]              334          3.431            Consolidate
[0, 19]              4            0.781            AsCollection
[0, 20]              4            0.332            FlatMap
[0, 21]              4            0.298            FlatMap
[0, 22]              4            0.682            FlatMap
[0, 23]              65           0.012            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.001            InspectBatch
