addr                 activations  total_active_ms  name
[0]                  1792         759.493          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               3            0.008            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            26.133           FlatMap
[0, 7]               4            173.356          Consolidate
[0, 8]               4            18.738           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              4            0.005            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            21.869           FlatMap
[0, 14]              5            204.999          ArrangeByKey
[0, 15]              1153         301.794          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           22           0.067            Feedback
[0, 15, 4]           22           0.511            FlatMap
[0, 15, 5]           22           1.612            FlatMap
[0, 15, 6]           77           4.246            ArrangeBySelf
[0, 15, 7]           37           127.283          Join
[0, 15, 8]           22           0.484            Concatenate
[0, 15, 9]           22           24.651           FlatMap
[0, 15, 10]          80           117.992          Arrange: ThresholdTotal
[0, 15, 11]          32           18.814           ThresholdTotal
[0, 15, 12]          22           0.117            ResultsIn
[0, 16]              42           0.060            Leave
[0, 17]              22           1.176            FlatMap
[0, 18]              95           5.538            Consolidate
[0, 19]              4            1.204            AsCollection
[0, 20]              4            0.459            FlatMap
[0, 21]              4            0.387            FlatMap
[0, 22]              4            0.862            FlatMap
[0, 23]              55           0.013            Consolidate
[0, 24]              2            0.002            AsCollection
[0, 25]              2            0.002            InspectBatch
