addr                 activations  total_active_ms  name
[0]                  1549         761.666          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               3            0.005            Consolidate
[0, 4]               2            0.004            AsCollection
[0, 5]               2            0.001            Input
[0, 6]               3            24.414           FlatMap
[0, 7]               4            176.111          Consolidate
[0, 8]               4            19.830           AsCollection
[0, 9]               2            0.002            FlatMap
[0, 10]              2            0.001            FlatMap
[0, 11]              4            0.014            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            21.591           FlatMap
[0, 14]              5            200.822          ArrangeByKey
[0, 15]              1074         305.695          Iterative
[0, 15, 1]           4            0.011            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           24           0.044            Feedback
[0, 15, 4]           24           0.547            FlatMap
[0, 15, 5]           24           1.499            FlatMap
[0, 15, 6]           69           4.221            ArrangeBySelf
[0, 15, 7]           41           128.542          Join
[0, 15, 8]           24           0.315            Concatenate
[0, 15, 9]           24           26.945           FlatMap
[0, 15, 10]          76           118.054          Arrange: ThresholdTotal
[0, 15, 11]          36           18.946           ThresholdTotal
[0, 15, 12]          24           0.121            ResultsIn
[0, 16]              39           0.053            Leave
[0, 17]              24           1.229            FlatMap
[0, 18]              73           5.620            Consolidate
[0, 19]              4            1.270            AsCollection
[0, 20]              4            0.504            FlatMap
[0, 21]              4            0.436            FlatMap
[0, 22]              4            0.917            FlatMap
[0, 23]              10           0.007            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.001            InspectBatch
