addr                 activations  total_active_ms  name
[0]                  1123         779.174          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.003            FlatMap
[0, 3]               3            0.008            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            28.301           FlatMap
[0, 7]               4            183.778          Consolidate
[0, 8]               4            22.009           AsCollection
[0, 9]               2            0.003            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              3            0.005            Consolidate
[0, 12]              2            0.002            AsCollection
[0, 13]              4            22.504           FlatMap
[0, 14]              5            203.001          ArrangeByKey
[0, 15]              806          306.369          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           2            0.003            Enter
[0, 15, 3]           22           0.046            Feedback
[0, 15, 4]           22           0.572            FlatMap
[0, 15, 5]           22           1.495            FlatMap
[0, 15, 6]           69           4.339            ArrangeBySelf
[0, 15, 7]           38           127.228          Join
[0, 15, 8]           22           0.286            Concatenate
[0, 15, 9]           22           27.573           FlatMap
[0, 15, 10]          67           119.436          Arrange: ThresholdTotal
[0, 15, 11]          35           18.926           ThresholdTotal
[0, 15, 12]          22           0.115            ResultsIn
[0, 16]              33           0.066            Leave
[0, 17]              22           1.228            FlatMap
[0, 18]              69           5.594            Consolidate
[0, 19]              4            1.198            AsCollection
[0, 20]              4            0.490            FlatMap
[0, 21]              4            0.424            FlatMap
[0, 22]              4            0.930            FlatMap
[0, 23]              19           0.006            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.004            InspectBatch
