addr                 activations  total_active_ms  name
[0]                  1601         771.658          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               3            0.006            Consolidate
[0, 4]               2            0.002            AsCollection
[0, 5]               2            0.004            Input
[0, 6]               3            29.466           FlatMap
[0, 7]               4            180.249          Consolidate
[0, 8]               4            21.273           AsCollection
[0, 9]               2            0.003            FlatMap
[0, 10]              2            0.002            FlatMap
[0, 11]              2            0.003            Consolidate
[0, 12]              2            0.001            AsCollection
[0, 13]              4            23.255           FlatMap
[0, 14]              5            204.317          ArrangeByKey
[0, 15]              1218         300.314          Iterative
[0, 15, 1]           4            0.007            FlatMap
[0, 15, 2]           2            0.002            Enter
[0, 15, 3]           22           0.041            Feedback
[0, 15, 4]           22           0.507            FlatMap
[0, 15, 5]           22           1.443            FlatMap
[0, 15, 6]           70           4.318            ArrangeBySelf
[0, 15, 7]           39           127.147          Join
[0, 15, 8]           22           0.280            Concatenate
[0, 15, 9]           22           24.308           FlatMap
[0, 15, 10]          74           117.276          Arrange: ThresholdTotal
[0, 15, 11]          33           18.765           ThresholdTotal
[0, 15, 12]          22           0.116            ResultsIn
[0, 16]              38           0.063            Leave
[0, 17]              22           1.229            FlatMap
[0, 18]              71           5.688            Consolidate
[0, 19]              4            1.186            AsCollection
[0, 20]              4            0.517            FlatMap
[0, 21]              4            0.447            FlatMap
[0, 22]              4            0.976            FlatMap
[0, 23]              7            0.005            Consolidate
[0, 24]              2            0.002            AsCollection
[0, 25]              2            0.004            InspectBatch
