addr                 activations  total_active_ms  name
[0]                  1293         765.720          Dataflow
[0, 1]               2            0.001            Input
[0, 2]               2            0.002            FlatMap
[0, 3]               4            0.016            Consolidate
[0, 4]               4            0.006            AsCollection
[0, 5]               2            0.000            Input
[0, 6]               3            25.116           FlatMap
[0, 7]               4            174.679          Consolidate
[0, 8]               4            19.031           AsCollection
[0, 9]               4            0.010            FlatMap
[0, 10]              4            0.029            FlatMap
[0, 11]              5            0.018            Consolidate
[0, 12]              4            0.007            AsCollection
[0, 13]              4            22.005           FlatMap
[0, 14]              5            202.544          ArrangeByKey
[0, 15]              804          308.959          Iterative
[0, 15, 1]           4            0.006            FlatMap
[0, 15, 2]           4            0.010            Enter
[0, 15, 3]           26           0.053            Feedback
[0, 15, 4]           26           0.506            FlatMap
[0, 15, 5]           26           1.660            FlatMap
[0, 15, 6]           52           4.416            ArrangeBySelf
[0, 15, 7]           41           130.694          Join
[0, 15, 8]           28           0.729            Concatenate
[0, 15, 9]           28           26.632           FlatMap
[0, 15, 10]          58           118.773          Arrange: ThresholdTotal
[0, 15, 11]          34           18.851           ThresholdTotal
[0, 15, 12]          26           0.119            ResultsIn
[0, 16]              38           0.069            Leave
[0, 17]              26           1.283            FlatMap
[0, 18]              41           5.609            Consolidate
[0, 19]              4            1.205            AsCollection
[0, 20]              4            0.490            FlatMap
[0, 21]              4            0.437            FlatMap
[0, 22]              4            0.941            FlatMap
[0, 23]              18           0.006            Consolidate
[0, 24]              2            0.001            AsCollection
[0, 25]              2            0.002            InspectBatch
